cnty,GEOID,w_as_ln,w_ba_ln,w_cd_ln,w_cr_ln,w_cn_ln,w_fl_ln,w_hg_ln,w_no3_ln,w_no2_ln,w_se_ln,w_sb_ln,w_endrin_ln,w_methoxychlor_ln,w_dalapon_ln,w_deha_ln,w_simazine_ln,w_dehp_ln,w_picloram_ln,w_dinoseb_ln,w_atrazine_ln,w_24d_ln,w_benzoap_ln,w_pcp_ln,w_pcb_ln,w_dbcp_ln,w_edb_ln,w_xylenes_ln,w_chlordane_ln,w_dcm_ln,w_pdcb_ln,w_111trichlorane_ln,w_trichlorene_ln,w_c2cl4_ln,w_benzene_ln,w_toluene_ln,w_ethylbenz_ln,w_stryene_ln,w_dce_ln,tot_pop,pop_abv_50y
Blaine,31009,-6.907755,-6.907755,-6.907755,-6.907755,-2.97593,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.214608,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-3.863233,-0.6911492,-0.6911492,-6.907755,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,478,201
Banner,31007,-6.907755,-6.907755,-6.907755,-6.907755,-2.97593,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.214608,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-4.135167,-1.362578,-0.6911492,-6.907755,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,690,322
Banner,31007,-6.907755279,-4.605170186,-6.907755279,-6.907755279,-2.975929646,-3.912023005,-6.907755279,-4.605170186,-4.605170186,-6.907755279,-6.214608098,-4.605170186,-4.605170186,-2.525728644,-2.813410717,-2.995732274,-2.525728644,-3.218875825,-2.525728644,-3.506557897,-2.407945609,-4.605170186,-4.605170186,-2.813410717,-3.688879454,-1.30933332,-0.510825624,-3.912023005,-0.510825624,-0.653926467,-0.673344553,-0.653926467,-0.673344553,-0.494296322,-0.562118918,-2.995732274,-0.510825624,-0.653926467,690,322
Blaine,31009,-6.907755279,-4.605170186,-6.907755279,-6.907755279,-2.975929646,-3.912023005,-6.907755279,-4.605170186,-4.605170186,-6.907755279,-6.214608098,-4.605170186,-4.605170186,-2.525728644,-2.813410717,-2.995732274,-2.525728644,-3.218875825,-2.525728644,-3.506557897,-2.407945609,-4.605170186,-4.605170186,-2.813410717,-3.506557897,-0.673344553,-0.510825624,-3.912023005,-0.510825624,-0.653926467,-0.673344553,-0.653926467,-0.673344553,-0.494296322,-0.562118918,-2.995732274,-0.510825624,-0.653926467,478,201
Keya Paha,31103,-6.907755,-6.907755,-6.907755,-6.907755,-2.97593,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.214608,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,824,426
Keya Paha,31103,-6.907755279,-4.605170186,-6.907755279,-6.907755279,-6.907755279,-3.912023005,-6.907755279,-4.605170186,-4.605170186,-6.907755279,-6.907755279,-4.605170186,-4.605170186,-2.525728644,-2.813410717,-2.995732274,-2.525728644,-3.218875825,-2.525728644,-3.506557897,-2.407945609,-4.605170186,-4.605170186,-2.813410717,-4.605170186,-4.605170186,-2.302585093,-3.912023005,-2.302585093,-3.912023005,-4.605170186,-3.912023005,-4.605170186,-2.207274913,-2.659260037,-2.995732274,-2.302585093,-3.912023005,824,426
Loup,31115,-6.907755,-6.907755,-6.907755,-6.907755,-2.97593,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.214608,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-3.863233,-0.6911492,-0.6911492,-6.907755,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,632,300
Loup,31115,-6.907755279,-4.605170186,-6.907755279,-6.907755279,-2.975929646,-3.912023005,-6.907755279,-4.605170186,-4.605170186,-6.907755279,-6.214608098,-4.605170186,-4.605170186,-2.525728644,-2.813410717,-2.995732274,-2.525728644,-3.218875825,-2.525728644,-3.506557897,-2.407945609,-4.605170186,-4.605170186,-2.813410717,-3.506557897,-0.673344553,-0.510825624,-3.912023005,-0.510825624,-0.653926467,-0.673344553,-0.653926467,-0.673344553,-0.494296322,-0.562118918,-2.995732274,-0.510825624,-0.653926467,632,300
Hayes,31085,-6.907755,-6.907755,-6.907755,-6.907755,-2.97593,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.214608,-2.292635,-2.292635,-6.907755,-0.6911492,-2.292635,0.693647,-6.907755,-6.907755,-2.513306,-6.907755,-2.796881,-6.907755,-6.907755,-3.863233,-0.6911492,-0.6911492,-1.60445,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,967,446
Madison,31119,-4.710530702,-1.714798428,-6.214608098,-5.11599581,-2.975929646,-0.415515444,-6.214608098,-4.605170186,-4.605170186,-4.135166557,-6.214608098,-4.605170186,-4.605170186,0.732367894,-2.813410717,-2.995732274,-2.525728644,0.932164081,0.732367894,-3.506557897,-1.660731207,-4.605170186,-1.560647748,-2.813410717,-3.540459449,-0.798507696,0.470003629,-3.912023005,-0.527632742,-0.693147181,-0.713349888,-0.693147181,-0.693147181,-0.527632742,-0.597837001,-2.995732274,-0.544727175,-0.274436846,539,11945
Sioux,31165,-6.907755,-6.907755,-6.907755,-6.907755,-2.97593,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.214608,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,1311,599
Hayes,31085,-6.907755279,-4.605170186,-6.907755279,-6.907755279,-2.975929646,-3.912023005,-6.907755279,-4.605170186,-4.605170186,-6.907755279,-6.214608098,-2.207274913,-2.207274913,-2.525728644,-0.579818495,-1.897119985,0.732367894,-3.218875825,-2.525728644,-2.207274913,-2.407945609,-2.659260037,-4.605170186,-2.813410717,-3.506557897,-0.673344553,-0.510825624,-1.514127733,-0.510825624,-0.653926467,-0.673344553,-0.653926467,-0.673344553,-0.494296322,-0.562118918,-2.995732274,-0.510825624,-0.653926467,967,446
Sioux,31165,-6.907755279,-4.605170186,-6.907755279,-6.907755279,-6.907755279,-3.912023005,-6.907755279,-4.605170186,-4.605170186,-6.907755279,-6.907755279,-4.605170186,-4.605170186,-2.525728644,-2.813410717,-2.995732274,-2.525728644,-3.218875825,-2.525728644,-3.506557897,-2.407945609,-4.605170186,-4.605170186,-2.813410717,-4.605170186,-4.605170186,-2.302585093,-3.912023005,-2.302585093,-3.912023005,-4.605170186,-3.912023005,-4.605170186,-2.207274913,-2.659260037,-2.995732274,-2.302585093,-3.912023005,1311,599
Madison,31119,-4.691818,-1.78082,-6.214608,-5.097011,-2.97593,-0.4519018,-6.214608,-6.907755,-6.907755,-4.154095,-6.214608,-6.907755,-6.907755,0.693647,-6.907755,-6.907755,-6.907755,0.9166906,0.693647,-6.907755,-2.292635,-6.907755,-1.60445,-6.907755,-3.908083,-0.8292081,0.4079805,-6.907755,-0.7101803,-0.731888,-0.728429,-0.731888,-0.7169846,-0.7330437,-0.731888,-0.7204042,-0.728429,-0.3001296,539,11945
Thomas,31171,-6.907755,-6.907755,-6.907755,-6.907755,-2.97593,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.214608,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-3.863233,-0.6911492,-0.6911492,-6.907755,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,647,299
Thomas,31171,-6.907755279,-4.605170186,-6.907755279,-6.907755279,-2.975929646,-3.912023005,-6.907755279,-4.605170186,-4.605170186,-6.907755279,-6.214608098,-4.605170186,-4.605170186,-2.525728644,-2.813410717,-2.995732274,-2.525728644,-3.218875825,-2.525728644,-3.506557897,-2.407945609,-4.605170186,-4.605170186,-2.813410717,-3.506557897,-0.673344553,-0.510825624,-3.912023005,-0.510825624,-0.653926467,-0.673344553,-0.653926467,-0.673344553,-0.494296322,-0.562118918,-2.995732274,-0.510825624,-0.653926467,647,299
Arthur,31005,-5.809143,-4.50986,-6.214608,-6.214608,-6.907755,-1.60445,-6.214608,-6.907755,-6.907755,-5.115996,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-3.863233,-0.6911492,-0.6911492,-6.907755,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,460,187
Arthur,31005,-5.80914299,-3.912023005,-6.214608098,-6.214608098,-6.907755279,-1.514127733,-6.214608098,-4.605170186,-4.605170186,-5.11599581,-6.907755279,-4.605170186,-4.605170186,-2.525728644,-2.813410717,-2.995732274,-2.525728644,-3.218875825,-2.525728644,-3.506557897,-2.407945609,-4.605170186,-4.605170186,-2.813410717,-3.506557897,-0.673344553,-0.510825624,-3.912023005,-0.510825624,-0.653926467,-0.673344553,-0.653926467,-0.673344553,-0.494296322,-0.562118918,-2.995732274,-0.510825624,-0.653926467,460,187
Logan,31113,-6.907755279,-4.605170186,-6.907755279,-6.907755279,-2.975929646,-3.912023005,-6.907755279,-4.605170186,-4.605170186,-6.907755279,-6.214608098,-4.605170186,-4.605170186,-2.525728644,-2.813410717,-2.995732274,-2.525728644,-3.218875825,-2.525728644,-3.506557897,-2.407945609,-4.605170186,-4.605170186,-2.813410717,-3.506557897,-0.673344553,-0.510825624,-3.912023005,-0.510825624,-0.653926467,-0.673344553,-0.653926467,-0.673344553,-0.494296322,-0.562118918,-2.995732274,-0.510825624,-0.653926467,763,318
Grant,31075,-6.907755,-6.907755,-6.907755,-6.907755,-2.97593,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.214608,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-3.863233,-0.6911492,-0.6911492,-6.907755,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,614,279
Logan,31113,-6.907755,-6.907755,-6.907755,-6.907755,-2.97593,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.214608,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-3.863233,-0.6911492,-0.6911492,-6.907755,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,763,318
Grant,31075,-6.907755279,-4.605170186,-6.907755279,-6.907755279,-2.975929646,-3.912023005,-6.907755279,-4.605170186,-4.605170186,-6.907755279,-6.214608098,-4.605170186,-4.605170186,-2.525728644,-2.813410717,-2.995732274,-2.525728644,-3.218875825,-2.525728644,-3.506557897,-2.407945609,-4.605170186,-4.605170186,-2.813410717,-3.506557897,-0.673344553,-0.510825624,-3.912023005,-0.510825624,-0.653926467,-0.673344553,-0.653926467,-0.673344553,-0.494296322,-0.562118918,-2.995732274,-0.510825624,-0.653926467,614,279
Deuel,31049,-5.11599581,-2.525728644,-6.214608098,-6.214608098,-2.975929646,-0.616186139,-6.214608098,-4.605170186,-4.605170186,-5.11599581,-6.214608098,-2.207274913,-2.207274913,-2.525728644,-0.579818495,-1.897119985,0.737164066,-3.218875825,-2.525728644,-2.207274913,-2.407945609,-2.659260037,-4.605170186,-2.813410717,-3.506557897,-0.673344553,-0.510825624,-1.514127733,-0.510825624,-0.653926467,-0.673344553,-0.653926467,-0.673344553,-0.494296322,-0.562118918,-2.995732274,-0.510825624,-0.653926467,1941,914
Deuel,31049,-5.077577,-2.583623,-6.214608,-6.214608,-2.97593,-0.6472182,-6.214608,-6.907755,-6.907755,-5.049896,-6.214608,-2.292635,-2.292635,-6.907755,-0.6911492,-2.292635,0.6986321,-6.907755,-6.907755,-2.513306,-6.907755,-2.796881,-6.907755,-6.907755,-3.863233,-0.6911492,-0.6911492,-1.60445,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,1941,914
Wheeler,31183,-6.907755279,-4.605170186,-6.907755279,-6.907755279,-2.975929646,-3.912023005,-6.907755279,-4.605170186,-4.605170186,-6.907755279,-6.214608098,-4.605170186,-4.605170186,-2.525728644,-2.813410717,-2.995732274,-2.525728644,-3.218875825,-2.525728644,-3.506557897,-2.407945609,-4.605170186,-4.605170186,-2.813410717,-3.506557897,-0.673344553,-0.510825624,-3.912023005,-0.510825624,-0.653926467,-0.673344553,-0.653926467,-0.673344553,-0.494296322,-0.562118918,-2.995732274,-0.510825624,-0.653926467,818,359
Wheeler,31183,-6.907755,-6.907755,-6.907755,-6.907755,-2.97593,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.214608,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-3.863233,-0.6911492,-0.6911492,-6.907755,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,818,359
Dundy,31057,-6.907755,-6.907755,-6.907755,-6.907755,-2.97593,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.214608,-6.907755,-6.907755,0.693647,-6.907755,-6.907755,-6.907755,0.9166906,0.693647,-6.907755,-2.292635,-6.907755,-1.60445,-6.907755,-3.989985,-1.251763,-0.8810845,-6.907755,-0.8111802,-0.9649559,-0.9390477,-0.9649559,-0.857236,-0.9737433,-0.9649559,-0.8810845,-0.9390477,-0.9737433,2008,934
Dundy,31057,-6.907755279,-4.605170186,-6.907755279,-6.907755279,-2.975929646,-3.912023005,-6.907755279,-4.605170186,-4.605170186,-6.907755279,-6.214608098,-4.605170186,-4.605170186,0.732367894,-2.813410717,-2.995732274,-2.525728644,0.932164081,0.732367894,-3.506557897,-1.660731207,-4.605170186,-1.560647748,-2.813410717,-3.575550769,-1.203972804,-0.673344553,-3.912023005,-0.616186139,-0.916290732,-0.916290732,-0.916290732,-0.84397007,-0.713349888,-0.798507696,-2.995732274,-0.713349888,-0.916290732,2008,934
Hooker,31091,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-3.863233,-0.6911492,-0.6911492,-6.907755,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,736,369
Hooker,31091,-6.907755279,-4.605170186,-6.907755279,-6.907755279,-6.907755279,-3.912023005,-6.907755279,-4.605170186,-4.605170186,-6.907755279,-6.907755279,-4.605170186,-4.605170186,-2.525728644,-2.813410717,-2.995732274,-2.525728644,-3.218875825,-2.525728644,-3.506557897,-2.407945609,-4.605170186,-4.605170186,-2.813410717,-3.506557897,-0.673344553,-0.510825624,-3.912023005,-0.510825624,-0.653926467,-0.673344553,-0.653926467,-0.673344553,-0.494296322,-0.562118918,-2.995732274,-0.510825624,-0.653926467,736,369
Frontier,31063,-6.907755,-6.907755,-6.907755,-6.907755,-2.97593,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.214608,-2.292635,-2.292635,0.693647,-0.6911492,-2.292635,0.693647,0.9166906,0.693647,-2.513306,-2.292635,-2.796881,-1.60445,-6.907755,-3.903724,-0.7761666,-0.6911492,-1.60445,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,2756,1146
Frontier,31063,-6.907755279,-4.605170186,-6.907755279,-6.907755279,-2.975929646,-3.912023005,-6.907755279,-4.605170186,-4.605170186,-6.907755279,-6.214608098,-2.207274913,-2.207274913,0.732367894,-0.579818495,-1.897119985,0.732367894,0.932164081,0.732367894,-2.207274913,-1.660731207,-2.659260037,-1.560647748,-2.813410717,-3.540459449,-0.755022584,-0.510825624,-1.514127733,-0.510825624,-0.653926467,-0.673344553,-0.653926467,-0.673344553,-0.494296322,-0.562118918,-2.995732274,-0.510825624,-0.653926467,2756,1146
Greeley,31077,-6.907755279,-4.605170186,-6.907755279,-6.907755279,-2.975929646,-3.912023005,-6.907755279,-4.605170186,-4.605170186,-6.907755279,-6.214608098,-4.605170186,-4.605170186,-2.525728644,-2.813410717,-2.995732274,-2.525728644,-3.218875825,-2.525728644,-3.506557897,-2.407945609,-4.605170186,-4.605170186,-2.813410717,-3.506557897,-0.673344553,-0.510825624,-3.912023005,-0.510825624,-0.653926467,-0.673344553,-0.653926467,-0.673344553,-0.494296322,-0.562118918,-2.995732274,-0.510825624,-0.653926467,2538,1123
Greeley,31077,-6.907755,-6.907755,-6.907755,-6.907755,-2.97593,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.214608,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-3.863233,-0.6911492,-0.6911492,-6.907755,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,2538,1123
Garfield,31071,-6.907755279,-4.605170186,-6.907755279,-6.907755279,-6.907755279,-3.912023005,-6.907755279,-4.605170186,-4.605170186,-6.907755279,-6.907755279,-2.207274913,-2.207274913,-2.525728644,-0.579818495,-1.897119985,0.732367894,-3.218875825,-2.525728644,-2.207274913,-2.407945609,-2.659260037,-4.605170186,-2.813410717,-3.506557897,-0.673344553,-0.510825624,-1.514127733,-0.510825624,-0.653926467,-0.673344553,-0.653926467,-0.673344553,-0.494296322,-0.562118918,-2.995732274,-0.510825624,-0.653926467,2049,1033
Garfield,31071,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-2.292635,-2.292635,-6.907755,-0.6911492,-2.292635,0.693647,-6.907755,-6.907755,-2.513306,-6.907755,-2.796881,-6.907755,-6.907755,-3.863233,-0.6911492,-0.6911492,-1.60445,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,2049,1033
Chase,31029,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-2.292635,-2.292635,-6.907755,-0.6911492,-2.292635,0.693647,-6.907755,-6.907755,-2.513306,-6.907755,-2.796881,-6.907755,-6.907755,-4.170506,-1.475004,-0.6911492,-1.60445,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,3966,1667
Chase,31029,-6.907755279,-4.605170186,-6.907755279,-6.907755279,-6.907755279,-3.912023005,-6.907755279,-4.605170186,-4.605170186,-6.907755279,-6.907755279,-2.207274913,-2.207274913,-2.525728644,-0.579818495,-1.897119985,0.732367894,-3.218875825,-2.525728644,-2.207274913,-2.407945609,-2.659260037,-4.605170186,-2.813410717,-3.729701449,-1.427116356,-0.510825624,-1.514127733,-0.510825624,-0.653926467,-0.673344553,-0.653926467,-0.673344553,-0.494296322,-0.562118918,-2.995732274,-0.510825624,-0.653926467,3966,1667
Garden,31069,-5.022202,-1.343235,-6.214608,-6.142287,-2.97593,-1.075873,-6.214608,-6.907755,-6.907755,-5.115996,-6.214608,-6.907755,-6.907755,0.693647,-6.907755,-6.907755,-6.907755,0.9166906,0.693647,-6.907755,-2.292635,-6.907755,-1.60445,-6.907755,-3.863233,-1.152013,-0.9915532,-6.907755,-0.87707,-1.136314,-1.090644,-1.136314,-0.9519179,-1.152013,-1.136314,-0.9915532,-1.090644,-1.152013,2057,1017
Garden,31069,-4.96184513,-1.30933332,-6.214608098,-6.214608098,-2.975929646,-1.021651248,-6.214608098,-4.605170186,-4.605170186,-5.11599581,-6.214608098,-4.605170186,-4.605170186,0.732367894,-2.813410717,-2.995732274,-2.525728644,0.932164081,0.732367894,-3.506557897,-1.660731207,-4.605170186,-1.560647748,-2.813410717,-3.506557897,-1.108662625,-0.755022584,-3.912023005,-0.653926467,-1.078809661,-1.049822124,-1.078809661,-0.916290732,-0.84397007,-0.94160854,-2.995732274,-0.820980552,-1.078809661,2057,1017
Rock,31149,-6.907755,-6.907755,-6.907755,-6.907755,-2.97593,-0.0157907,-6.907755,-6.907755,-6.907755,-6.907755,-6.214608,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-3.863233,-0.6911492,-0.6911492,-6.907755,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,-0.6911492,1526,759
Rock,31149,-6.907755279,-4.605170186,-6.907755279,-6.907755279,-2.975929646,0,-6.907755279,-4.605170186,-4.605170186,-6.907755279,-6.214608098,-4.605170186,-4.605170186,-2.525728644,-2.813410717,-2.995732274,-2.525728644,-3.218875825,-2.525728644,-3.506557897,-2.407945609,-4.605170186,-4.605170186,-2.813410717,-3.506557897,-0.673344553,-0.510825624,-3.912023005,-0.510825624,-0.653926467,-0.673344553,-0.653926467,-0.673344553,-0.494296322,-0.562118918,-2.995732274,-0.510825624,-0.653926467,1526,759
Boyd,31015,-6.907755,-6.907755,-6.907755,-6.907755,-2.97593,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.214608,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-6.907755,-3.893447,-0.8046376,-0.735359,-6.907755,-0.7198334,-0.7528972,-0.7476034,-0.7528972,-0.730157,-0.7546681,-0.7528972,-0.735359,-0.7476034,-0.7546681,2099,1056
Boyd,31015,-6.907755279,-4.605170186,-6.907755279,-6.907755279,-2.975929646,-3.912023005,-6.907755279,-4.605170186,-4.605170186,-6.907755279,-6.214608098,-4.605170186,-4.605170186,-2.525728644,-2.813410717,-2.995732274,-2.525728644,-3.218875825,-2.525728644,-3.506557897,-2.407945609,-4.605170186,-4.605170186,-2.813410717,-3.540459449,-0.776528789,-0.544727175,-3.912023005,-0.527632742,-0.713349888,-0.733969175,-0.713349888,-0.713349888,-0.544727175,-0.616186139,-2.995732274,-0.562118918,-0.713349888,2099,1056
Perkins,31135,-6.907755279,-4.605170186,-6.907755279,-6.907755279,-2.975929646,-3.912023005,-6.907755279,-4.605170186,-4.605170186,-6.907755279,-6.214608098,-4.605170186,-4.605170186,-2.525728644,-2.813410717,-2.995732274,-2.525728644,-3.218875825,-2.525728644,-3.506557897,-2.407945609,-4.605170186,-4.605170186,-2.813410717,-3.506557897,-0.798507696,-0.579818495,-3.912023005,-0.562118918,-0.776528789,-0.776528789,-0.776528789,-0.755022584,-0.597837001,-0.673344553,-2.995732274,-0.597837001,-0.776528789,2970,1255
